OrderID,CustomerID,ProductID,OrderDate,Quantity,Price,Region
1,346,829,2025-09-06,3,1098.39,US
2,1639,315,2024-05-05,4,1536.91,LATAM
3,2924,809,2024-12-31,3,1355.47,APAC
4,4990,758,2022-12-16,1,72.38,US
5,2825,733,2024-10-17,2,1210.6,LATAM
6,596,100,2022-10-25,1,318.2,US
7,1055,142,2025-06-26,3,1096.12,US
8,4693,559,2025-07-30,2,251.73,EU
9,4804,646,2022-11-27,1,142.08,LATAM
10,488,213,2024-08-28,1,1678.3,US
11,1790,981,2025-02-24,2,685.27,LATAM
12,3289,540,2024-04-06,3,976.71,LATAM
13,3955,1000,2024-05-07,5,1914.72,US
14,4714,467,2022-12-20,5,1991.33,LATAM
15,2236,729,2024-12-08,1,1494.82,US
16,359,688,2023-04-02,1,209.33,EU
17,2038,450,2025-05-05,5,1359.35,APAC
18,1245,867,2023-10-20,3,881.15,US
19,4314,315,2024-08-11,3,1536.91,LATAM
20,1559,103,2024-07-04,4,653.14,US
21,2583,976,2023-10-20,3,486.12,US
22,3386,764,2025-05-12,2,593.99,US
23,4687,753,2024-07-10,3,632.76,APAC
24,4610,823,2024-02-12,1,337.36,LATAM
25,2267,757,2024-07-28,4,393.88,US
26,590,593,2024-04-19,1,1771.29,EU
27,4040,50,2023-03-04,1,272.9,US
28,2532,512,2023-05-18,2,1427.8,EU
29,925,304,2023-01-05,5,1423.39,EU
30,169,858,2024-02-24,5,1476.02,EU
31,3613,794,2023-07-20,4,886.88,APAC
32,2039,70,2023-07-12,2,1396.43,US
33,1418,581,2025-01-05,5,1226.77,APAC
34,2664,20,2024-02-20,5,110.16,EU
35,780,651,2023-01-04,2,1209.93,LATAM
36,2033,545,2024-11-04,4,411.04,US
37,183,565,2024-06-02,5,1332.25,LATAM
38,4846,687,2023-06-02,1,1460.96,EU
39,2813,206,2023-07-20,1,759.34,LATAM
40,697,357,2023-05-14,5,1556.48,EU
41,2282,105,2025-09-14,1,1573.92,US
42,1329,146,2023-07-25,4,481.52,US
43,2811,975,2025-05-04,3,1419.91,APAC
44,51,447,2025-01-19,2,665.04,LATAM
45,4748,792,2025-01-13,3,446.43,EU
46,901,465,2024-04-29,1,1593.45,EU
47,3414,598,2023-11-18,2,700.93,LATAM
48,1303,281,2024-12-29,1,1196.63,LATAM
49,4896,675,2024-11-12,5,696.76,APAC
50,4086,970,2023-02-01,2,610.65,EU
51,2269,177,2024-07-17,4,1902.14,EU
52,2322,829,2024-02-09,3,1098.39,LATAM
53,1034,656,2025-09-15,5,1478.35,US
54,604,559,2022-11-19,2,251.73,US
55,4013,691,2025-02-14,1,145.48,LATAM
56,3715,413,2024-09-14,3,384.07,APAC
57,525,100,2023-04-21,2,318.2,EU
58,1086,339,2023-12-05,3,1333.54,US
59,1892,144,2024-10-08,1,344.71,EU
60,1824,924,2025-09-12,4,1923.32,LATAM
61,4223,165,2023-11-07,3,290.62,US
62,2878,29,2024-07-25,2,119.84,APAC
63,1658,762,2022-11-29,2,1334.43,US
64,205,910,2023-08-12,3,971.03,US
65,2560,113,2023-04-25,3,1852.43,APAC
66,976,813,2025-06-20,2,209.29,LATAM
67,3958,16,2022-12-03,5,95.16,US
68,1941,13,2024-04-27,2,564.67,LATAM
69,398,369,2025-09-13,1,596.93,LATAM
70,721,813,2025-03-16,5,209.29,APAC
71,2971,985,2023-10-26,5,1490.66,LATAM
72,3630,609,2024-03-13,5,868.13,US
73,3418,648,2025-06-26,2,13.61,APAC
74,2767,656,2025-04-11,3,1478.35,LATAM
75,264,285,2022-11-01,5,1907.68,APAC
76,475,45,2023-09-20,3,1443.45,EU
77,3520,309,2023-05-29,2,968.09,US
78,1046,333,2025-02-08,1,1527.75,EU
79,1147,275,2024-04-25,2,800.16,LATAM
80,1667,997,2024-09-06,1,611.38,LATAM
81,1276,527,2024-09-05,3,933.72,LATAM
82,4155,923,2023-12-10,3,1472.94,LATAM
83,3026,635,2023-05-09,2,584.84,LATAM
84,1266,840,2024-05-09,4,1792.81,EU
85,272,398,2024-06-11,3,611.36,APAC
86,2845,893,2024-08-30,1,1974.9,LATAM
87,551,991,2023-05-14,3,1773.53,US
88,2427,894,2024-12-01,1,1506.84,APAC
89,3911,133,2024-10-23,4,1612.39,US
90,4753,27,2023-07-22,1,1551.36,EU
91,4717,283,2022-11-23,3,914.22,LATAM
92,488,184,2023-01-19,2,1069.8,APAC
93,1868,271,2024-05-28,2,902.29,EU
94,1569,835,2025-06-16,3,1873.1,APAC
95,3627,982,2024-04-10,4,1198.77,LATAM
96,1078,554,2024-10-03,2,1326.52,EU
97,2562,675,2023-04-10,2,696.76,APAC
98,1438,882,2022-12-07,1,869.12,US
99,2462,472,2025-09-19,5,1519.74,EU
100,3577,653,2024-12-10,5,816.51,EU
101,1286,919,2022-10-05,5,551.17,APAC
102,4317,370,2024-07-15,5,152.31,EU
103,1761,636,2024-04-07,1,1031.66,LATAM
104,3481,64,2025-06-12,2,1789.74,US
105,2791,259,2023-05-10,2,1038.83,US
106,2394,581,2025-08-09,2,1226.77,LATAM
107,3478,545,2024-08-31,4,411.04,EU
108,4703,610,2023-11-02,1,664.93,EU
109,3410,991,2025-06-24,1,1773.53,LATAM
110,366,10,2023-02-14,2,200.11,US
111,3067,370,2024-10-13,3,152.31,LATAM
112,640,871,2025-04-28,2,1784.98,LATAM
113,1464,368,2023-09-09,3,737.18,APAC
114,2042,392,2023-02-16,5,1113.27,LATAM
115,3916,807,2024-01-29,5,1822.18,LATAM
116,3995,485,2022-11-28,3,1610.13,APAC
117,689,557,2024-10-05,5,861.73,LATAM
118,1405,437,2024-08-09,1,1776.13,EU
119,867,856,2025-06-02,4,1967.18,EU
120,4857,717,2023-10-09,3,646.17,US
121,471,731,2023-06-15,5,937.66,US
122,4311,623,2025-02-18,3,658.87,US
123,3820,755,2024-08-20,4,946.02,EU
124,3082,465,2025-07-15,2,1593.45,US
125,3997,531,2025-02-25,1,585.43,EU
126,1490,518,2024-06-13,5,154.07,APAC
127,1647,792,2025-09-23,1,446.43,LATAM
128,2048,460,2024-05-26,4,1498.22,EU
129,2585,548,2023-08-21,3,833.73,US
130,668,938,2024-08-10,5,17.16,LATAM
131,896,814,2025-06-23,4,1876.42,LATAM
132,4528,225,2024-11-26,5,1908.54,LATAM
133,1177,227,2024-10-13,4,269.96,APAC
134,2149,906,2025-09-19,2,155.04,US
135,1726,182,2023-11-05,1,1685.11,EU
136,3758,391,2022-11-04,3,1193.11,APAC
